日期,签约套数,签约面积,住宅签约套数,住宅签约面积
2025-12-11,788,71693.59,682,64084.3
2025-12-14,139,11596.02,133,11252.76
2025-12-15,702,58538.92,632,55206.96
2025-12-16,757,64470.44,686,61351.59
2025-12-17,766,65143.52,690,61570.9
2025-12-18,730,64184.67,665,60685.68
2025-12-22,746,61704.8,659,57214.64
2025-12-23,754,66668.23,664,62725.41
2025-12-24,783,71481.16,699,63331.99
2025-12-25,858,74637.42,784,69656.53
2025-12-29,971,84985.95,884,79710.38
2025-12-30,1046,90179.75,954,85633.74
2026-1-3,45,3436.75,40,3212.68
2026-1-4,500,40902.3,429,36950.81
2026-01-05,539,46824.56,484,43670.7
