年份,住宅套数万,住宅面积万m2,非住宅面积万m2,数据更新日期
2020,16.46,1478.8,95.7,2026-04-30
2021,19.11,1730.4,113.7,2026-04-30
2022,14.09,1285.0,96.3,2026-04-30
2023,15.32,1375.8,125.2,2026-04-30
2024,17.32,1558.3,110.0,2026-04-30
