年月,面积区间,成交套数,成交面积
2025-12,60m2以下,5824,264050.14
2025-12,60～80m2,4543,314581.97
2025-12,80～100m2,4154,370361.38
2025-12,100～120m2,1678,181941.66
2025-12,120～140m2,1135,147156.61
2025-12,140m2以上,1798,381000.64
